rcp,AdressatIn
dgs,AkademischeR BetreuerIn
dfd,dfd,AngeklagteR/BeklagteR
arc,arc,ArchitektIn 
arr,arr,ArrangeurIn
adi,Art Director
rce,AufnahmetechnikerIn
pat,AuftraggeberIn
tch,AusbilderIn
prf,AusführendeR
fon,BegründerIn eines Werks
csl,BeraterIn
rap,BerichterstatterIn
ape,BerufungsbeklagteR/RevisionsbeklagteR
apl,BerufungsklägerIn/RevisionsklägerIn
scl,BildhauerIn
brl,BrailleschriftprägerIn
bkd,BuchgestalterIn
bka,BuchkünstlerIn
sgd,BühnenregisseurIn
cad,Casting Director
med,Channel
edd,ChefredakteurIn
chr,ChoreografIn
cnd,ChorleiterIn
clr,ColoristIn
edm,CutterIn
dsr,DesignerIn
cnd,DirigentIn
pan,DiskussionsteilnehmerIn
djo,DJ
aus,DrehbuchautorIn
prt,DruckerIn
plt,DruckformherstellerIn
prm,DruckgrafikerIn
cou,Durch Verfahrensvorschriften geregeltes Gericht
inv,ErfinderIn
nrt,ErzählerIn
oth,ErzeugerIn einer unveröffentlichten Manifestation
tlp,FernsehproduzentIn
tld,FernsehregisseurIn
fmk,FilmemacherIn
fmp,FilmproduzentIn
fmd,FilmregisseurIn
fds,Filmvertrieb
cas,FormgießerIn
res,ForscherIn
pht,FotografIn
his,Gastgebende Institution
hst,GastgeberIn
hnr,GefeierteR
cre,GeistigeR SchöpferIn
jug,Geregelte Gebietskörperschaft
crt,GerichtsstenografIn
stl,GeschichtenerzählerIn
dgg,Grad-verleihende Institution
isb,Herausgebendes Organ
edt,HerausgeberIn
mfr,HerstellerIn
rpc,HörfunkproduzentIn
rdd,HörfunkregisseurIn
ill,IllustratorIn
itr,InstrumentalmusikerIn
ivr,InterviewerIn
ive,InterviewteR
cll,KalligrafIn
cng,Kameramann/Kamerafrau
ctg,KartografIn
wac,KommentarverfasserIn
cmm,KommentatorIn
cmp,KomponistIn
cst,KostümbildnerIn
art,KünstlerIn
abr,KürzendeR
lsa,LandschaftsarchitektIn
srv,LandvermesserIn
ill,Letterer
lbt,LibrettistIn
clt,LichtdruckerIn
lgd,LichtgestalterIn
ltg,LithografIn
mka,MaskenbildnerIn
mxe,MischtontechnikerIn
oth,Mit Manifestation in Beziehung stehendeR AkteurIn
dgc,Mitglied eines Graduierungsausschusses
ctb,MitwirkendeR
mod,ModeratorIn
msd,MusikalischeR LeiterIn
mup,Musik-ProgrammiererIn
enj,Normerlassende Gebietskörperschaft
osp,On-Screen-PräsentatorIn
onp,On-Screen-TeilnehmerIn
cnd,OrchesterleiterIn
ppm,PapiermacherIn
pre,PräsentatorIn
pra,Praeses
prn,Produktionsfirma
pro,ProduzentIn
aup,ProduzentIn einer Tonaufnahme
prg,ProgrammiererIn
mtk,ProtokollantIn
ppt,PuppenspielerIn
etr,RadiererIn
spk,RednerIn
drt,RegisseurIn
rxa,Remix Artist
rsp,RespondentIn
rsr,RestauratorIn
jud,RichterIn
sng,SängerIn
brd,Sender
act,SchauspielerIn
swd,Softwareentwicklerin
oth,Sonstige Person, Familie und Körperschaft
sfx,Special-effects-Provider
spn,SponsorIn
egr,StecherIn
dbd,SynchronregisseurIn
vac,SprecherIn einer Rolle
prs,SzenenbildnerIn
dnc,TänzerIn
drm,TechnischeR ZeichnerIn
lyr,TextdichterIn
sds,TongestalterIn
rcd,TonmeisterIn
aue,TontechnikerIn
trc,TranskribiererIn
anm,TrickfilmzeichnerIn
trl,ÜbersetzerIn
orm,VeranstalterIn
aut,VerfasserIn
win,VerfasserIn einer Einleitung
aui,VerfasserIn eines Geleitwortes
aft,VerfasserIn eines Nachworts
wst,VerfasserIn eines Postscriptums
wpr,VerfasserIn eines Vorworts
wst,VerfasserIn von ergänzendem Text
wal,VerfasserIn von zusätzlichen Lyrics
wat,VerfasserIn von Zusatztexten
pbl,Verlag
ctr,VertragspartnerIn
dst,Vertrieb
vfx,Visual-effects-Provider
dto,WidmendeR
dte,WidmungsempfängerIn
cns,ZensorIn
ptf,ZivilklägerIn
com,ZusammenstellendeR
