338b,002Ea
nc,Band
nb,Blatt
nn,Flipchart
nr,Gegenstand
no,Karte
na,Rolle
nz,Sonstige Datenträger, die ohne Hilfsmittel zu benutzen sind
cb,Computerchip-Cartridge
cd,Computerdisk
ce,Computerdisk-Cartridge
ca,Magnetbandcartridge
cf,Magnetbandkassette
ch,Magnetbandspule
cr,Online-Ressource
ck,Speicherkarte
cz,Sonstige Computermedien
hg,Lichtundurchlässiger Mikrofiche
he,Mikrofiche
hf,Mikrofichekassette
hb,Mikrofilm-Cartridge
hc,Mikrofilmkassette
ha,Mikrofilmlochkarte
hj,Mikrofilmrolle
hd,Mikrofilmspule
hh,Mikrofilmstreifen
hz,Sonstige Mikroformen
gs,Dia
mc,Filmdose
mf,Filmkassette
mo,Filmrolle
mr,Filmspule
gf,Filmstreifen
gc,Filmstreifen-Cartridge
gd,Filmstreifen für Einzelbildvorführung
gt,Overheadfolie
mz,Sonstige projizierbare Bilder
eh,Stereobild
es,Stereografische Disk
ez,Sonstige stereografische Datenträger
sg,Audiocartridge
sd,Audiodisk
ss,Audiokassette
sq,Notenrolle
se,Phonographenzylinder
st,Tonbandspule
si,Tonspurspule
sz,Sonstige Tonträger
pp,Objektträger
pz,Sonstige Mikroskop-Anwendungen
vr,Videobandspule
vc,Videocartridge
vd,Videodisk
vf,Videokassette
vz,Sonstige Videodatenträger
